,no_email_in_11,no_email_in_12,no_email_in_13,no_email_in_14,no_email_in_15,no_email_phi_6,no_email_phi_7,no_email_phi_8,no_email_phi_9,no_email_phi_10,no_email_us1,no_email_us2,no_email_us3,no_email_us4,no_email_us5
LightScribe,0.194008002,0.184111974,0.184111974,0.194870233,0.190543999,0.194468947,0.194468947,0.194468947,0.251610043,0,0.330773516,0.328372569,0.330773516,0.327227436,0.328288383
MP3 player,0.219725788,0.220416225,0.233849584,0.241657955,0.205305112,0.195978726,0.256333967,0.195978726,0.184118226,0,0.212441457,0.211280051,0.212441457,0.209075691,0.212441457
MP4 Watch,0.138214825,0.130650051,0.131106937,0.118053089,0.134260201,0.129219229,0.129219229,0.130650051,0.130222437,0,0.184044076,0.0991158,0.184103547,0.18609963,0.184894315
Personal organizer,0.311842038,0.314681738,0.348152172,0.371245937,0.342888634,0.348152172,0.348152172,0.344577857,0.253963471,0,0.344923024,0.345865513,0.329099659,0.377388482,0.349859973
Pocket video camera,0.129766239,0.133884778,0.124230179,0.125819325,0.119778658,0.123910835,0.123910835,0.124230179,0.27388969,0,0.171426501,0.178615032,0.16379296,0.170355936,0.17601262
Portable CD player,0.248427795,0.242272043,0.258798493,0.22195063,0.241834431,0.242379518,0.259075792,0.258798493,0.240285524,0,0.317138013,0.304090735,0.303956253,0.303999201,0.304090735
Portable DVD player,0.31755753,0.318048758,0.318048758,0.317947447,0.319681068,0.299715286,0.299715286,0.299715286,0.559945325,0,0.299040669,0.302117588,0.299040669,0.299040669,0.302117588
Power cord,0.173689029,0.173689029,0.173689029,0.211462461,0.14867603,0.156250739,0.173206214,0.181789799,0.144105556,0,0.236725719,0.2969134,0.214261388,0.229154281,0.296796253
Remote control,0.326949098,0.331244572,0.331244572,0.300997903,0.350634507,0.325502464,0.331244572,0.331244572,0.337547973,0,0.398256483,0.398256483,0.398921132,0.399765111,0.399530788
SSD,,,,,,,,,,,,,,,
Satellite dish,0.32753841,0.310692004,0.39025,0.279064232,0.335089653,0.283843535,0.171999747,0.248097091,0.346023448,0,0.05399854,0.053985464,0.121401099,0.097448057,0.053985464
Set-back box,0.064701612,0.09842747,0.066380225,0.058558723,0.166126925,0.164630295,0.065907021,0.065859823,0.083168212,0,0.119872021,0.171850464,0.132756668,0.147512942,0.188504988
Set-top box,0.282477332,0.291712185,0.291712185,0.270441942,0.281797538,0.292259109,0.319233238,0.258600435,0.328396402,0,0.235436737,0.235305897,0.253611385,0.21540475,0.248664374
Surround sound,0.052658322,0.046293173,0.052155526,0.269081596,0.165963463,0.052449818,0.052449818,0.052449818,0.05808311,0,0.031811346,0.031634013,0.031634013,0.030876281,0.030880755
Television,0.366270155,0.35120753,0.35120753,0.386582461,0.370366373,0.330240547,0.335030046,0.330240547,0.268335912,0,0.484287238,0.484287238,0.481149689,0.481771042,0.4812421
Universal remote,0.165541386,0.165541386,0.168575165,0.259911977,0.154829933,0.157809593,0.157809593,0.165541386,0.164591064,0,0.334892986,0.394267323,0.393168445,0.393399525,0.393168445
Video sender,0.037333992,0.036810195,0.036819762,0.09778148,0.035989329,0.140845558,0.036819762,0.092099007,0.230997662,0,0.035816782,0.035510114,0.035844801,0.036853229,0.037482217
Videocassette recorder,0.293456336,0.241733303,0.293456336,0.264021539,0.299381205,0.25055176,,0.211792448,0.252758081,0,0.248519207,0.212546907,0.244884606,0.214560742,0.216071652
accessories,0.083455633,0.084888696,0.086835431,0.055065828,0.082771863,0.104408796,0.092000141,0.067598744,0.079743259,0,0.217710422,0.240061388,0.217710422,0.269141139,0.249684072
air conditioners,0.375476595,0.394013767,0.394013767,0.393294037,0.393830567,0.36472078,0.373883033,0.375476595,0.422989379,0,0.334803914,0.337459678,0.334803914,0.325884309,0.337459678
backpack,0.338038527,0.329682247,0.322855504,0.328678018,0.326167628,0.325685115,0.325685115,0.32890057,0.29924956,0,0.29273277,0.29273277,0.29273277,0.304287681,0.29273277
baking dishes,0.44474111,0.44474111,0.44474111,0.354792759,0.436515037,0.41363388,0.437616723,0.44474111,0.323063023,0,0.294823097,0.298346304,0.29598171,0.298346304,0.298346304
